userid,age,occupation,gender
233860,26,college/grad student,F
244827,25,executive/managerial,M
400849,30,self-employed,M
35278,30,K-12 student,M
113440,31,executive/managerial,M
264922,18,K-12 student,M
47715,30,college/grad student,M
241384,34,sales/marketing,M
109711,34,customer service,M
114011,27,sales/marketing,M
223664,20,college/grad student,M
337244,34,sales/marketing,M
409789,26,executive/managerial,M
13694,30,college/grad student,M
133765,25,other or not specified,M
124824,35,executive/managerial,F
149931,87,executive/managerial,F
331209,32,sales/marketing,M
215977,34,executive/managerial,M
378426,25,programmer,M
185825,25,tradesman/craftsman,M
239455,31,college/grad student,M
97890,28,executive/managerial,M
410659,30,scientist,F
276205,40,executive/managerial,M
267563,30,self-employed,M
185249,26,college/grad student,M
112377,26,scientist,M
305080,33,scientist,M
113393,30,clerical/admin,M
99556,29,college/grad student,M
347068,34,self-employed,M
290904,27,college/grad student,F
343012,25,sales/marketing,M
177010,32,college/grad student,M
271862,23,scientist,M
362666,32,college/grad student,M
389900,31,self-employed,M
429451,24,K-12 student,M
26714,33,other or not specified,M
208117,34,scientist,F
194807,26,artist,M
209689,28,executive/managerial,M
311044,33,other or not specified,M
75488,33,executive/managerial,M
387461,25,sales/marketing,M
213036,33,college/grad student,M
90265,27,scientist,F
249291,32,scientist,M
224738,28,executive/managerial,M
285416,25,executive/managerial,M
229269,28,college/grad student,M
349942,33,homemaker,F
424717,26,executive/managerial,M
75540,40,clerical/admin,M
141728,32,college/grad student,M
243936,52,executive/managerial,M
21809,30,sales/marketing,M
162186,25,executive/managerial,M
26225,25,college/grad student,F
107744,33,executive/managerial,M
242956,29,scientist,M
408975,31,other or not specified,M
171191,43,executive/managerial,M
372800,30,sales/marketing,F
425321,26,college/grad student,M
8476,23,executive/managerial,M
357059,29,self-employed,M
87831,24,scientist,M
172702,34,sales/marketing,M
102757,26,retired,F
341839,25,other or not specified,F
153648,30,sales/marketing,M
416823,31,college/grad student,M
214594,19,scientist,M
45597,34,scientist,M
125005,27,other or not specified,F
251554,31,executive/managerial,M
440878,34,self-employed,M
148603,37,academic/educator,M
422741,33,scientist,M
192146,29,college/grad student,M
201891,28,college/grad student,M
42949,29,homemaker,F
188692,28,college/grad student,M
359706,26,self-employed,M
380191,31,college/grad student,M
269434,28,executive/managerial,M
67701,29,self-employed,M
157857,25,executive/managerial,M
11318,29,sales/marketing,M
161386,25,college/grad student,M
351743,43,artist,F
196024,29,executive/managerial,M
267464,29,scientist,M
300195,29,sales/marketing,M
249392,28,other or not specified,M
173316,26,executive/managerial,M
211162,20,homemaker,M
414851,25,artist,F
380202,38,clerical/admin,M
76349,34,executive/managerial,M
223696,21,sales/marketing,M
143109,30,executive/managerial,M
400106,30,scientist,M
97886,53,executive/managerial,M
63789,34,executive/managerial,M
222571,37,clerical/admin,M
96011,26,homemaker,F
34641,34,scientist,M
8383,27,college/grad student,M
141134,53,executive/managerial,M
310323,25,self-employed,M
79202,39,tradesman/craftsman,M
343968,25,sales/marketing,M
90988,33,college/grad student,M
420324,34,sales/marketing,M
5001,72,retired,F
145371,32,scientist,M
168771,26,other or not specified,M
288535,27,scientist,F
430571,18,scientist,M
260608,26,college/grad student,M
13940,32,college/grad student,F
6603,34,academic/educator,M
279038,30,college/grad student,F
3214,28,scientist,M
281733,26,college/grad student,M
63478,28,scientist,M
406743,33,college/grad student,F
29083,28,executive/managerial,M
265794,32,other or not specified,M
201993,39,self-employed,F
31817,26,executive/managerial,M
261064,34,executive/managerial,M
207101,28,homemaker,M
55605,28,executive/managerial,M
242835,32,technician/engineer,M
297407,19,programmer,M
377564,70,academic/educator,F
226314,27,sales/marketing,M
343570,26,self-employed,M
361412,28,clerical/admin,M
429466,33,executive/managerial,M
66016,27,self-employed,M
398958,30,college/grad student,M
16127,30,sales/marketing,M
427274,84,self-employed,F
330776,25,sales/marketing,M
85811,21,artist,M
186622,33,college/grad student,M
8426,25,college/grad student,M
137053,31,college/grad student,M
415785,33,self-employed,F
372952,26,sales/marketing,M
260307,32,scientist,M
337270,29,sales/marketing,M
37208,34,executive/managerial,M
297884,31,executive/managerial,M
164399,25,sales/marketing,M
258924,31,college/grad student,M
404603,27,college/grad student,M
124106,33,self-employed,M
379918,34,sales/marketing,F
196235,34,college/grad student,M
215257,27,self-employed,M
246773,28,college/grad student,M
290853,27,college/grad student,M
439789,29,scientist,M
220038,33,sales/marketing,M
9032,30,sales/marketing,M
316616,25,executive/managerial,F
107633,26,technician/engineer,M
353577,38,executive/managerial,M
267285,28,college/grad student,F
39113,30,college/grad student,M
313560,69,retired,F
291245,27,college/grad student,M
42882,25,tradesman/craftsman,M
167936,30,sales/marketing,M
431843,26,executive/managerial,M
31995,31,sales/marketing,M
62294,33,college/grad student,M
425357,30,homemaker,M
247459,31,college/grad student,F
390168,31,scientist,M
181659,28,sales/marketing,M
14680,30,sales/marketing,M
84239,27,college/grad student,M
12945,30,executive/managerial,M
109962,31,scientist,M
226045,23,K-12 student,M
394147,28,college/grad student,M
23731,34,college/grad student,M
446589,28,college/grad student,M
352367,26,scientist,M
360206,33,clerical/admin,M
280462,34,farmer,F
344125,31,executive/managerial,F
409917,31,sales/marketing,M
268782,32,executive/managerial,M
152048,30,clerical/admin,F
220642,27,scientist,F
193321,30,college/grad student,M
363019,41,sales/marketing,M
90629,14,K-12 student,M
400363,31,self-employed,M
49008,29,executive/managerial,M
295835,34,college/grad student,M
244074,11,K-12 student,M
23298,34,tradesman/craftsman,M
295843,28,sales/marketing,M
259587,33,college/grad student,M
276416,26,other or not specified,M
355755,34,programmer,M
114001,26,executive/managerial,M
84494,30,college/grad student,M
345722,30,executive/managerial,M
300373,30,executive/managerial,M
159932,30,sales/marketing,M
174968,18,scientist,M
403446,26,college/grad student,M
299937,29,college/grad student,M
302575,33,sales/marketing,M
236845,27,clerical/admin,M
238841,34,academic/educator,M
189505,32,sales/marketing,M
400638,34,homemaker,M
268011,26,college/grad student,M
427702,26,self-employed,F
133866,31,executive/managerial,M
344973,26,college/grad student,M
435422,28,college/grad student,M
366287,29,other or not specified,M
378155,18,sales/marketing,M
307701,28,programmer,M
170089,27,scientist,M
260355,29,executive/managerial,M
17584,27,college/grad student,M
318048,32,sales/marketing,M
435519,18,scientist,M
171038,33,scientist,M
312208,26,college/grad student,M
439858,32,college/grad student,M
164699,31,self-employed,F
200419,32,clerical/admin,M
7980,25,college/grad student,M
409642,29,sales/marketing,M
40350,28,executive/managerial,M
187322,32,college/grad student,M
295199,22,sales/marketing,M
405836,28,college/grad student,M
270705,32,college/grad student,M
95347,28,executive/managerial,M
215559,44,executive/managerial,M
36889,34,executive/managerial,M
389443,21,K-12 student,M
256985,28,executive/managerial,M
165,29,self-employed,M
151814,25,sales/marketing,M
192960,30,self-employed,M
283960,34,executive/managerial,M
326271,32,programmer,M
68207,64,retired,M
330847,25,clerical/admin,F
105912,30,college/grad student,F
183353,31,artist,M
154631,28,scientist,M
365927,24,sales/marketing,M
146166,25,other or not specified,F
62749,33,sales/marketing,M
26662,33,executive/managerial,M
165593,34,self-employed,M
55579,26,college/grad student,M
139003,26,sales/marketing,M
298400,34,other or not specified,F
414606,27,executive/managerial,M
193470,29,sales/marketing,M
52728,27,tradesman/craftsman,M
229646,31,college/grad student,M
415785,33,self-employed,F
128663,26,college/grad student,M
338494,29,sales/marketing,M
256408,29,scientist,F
166031,27,college/grad student,M
395923,27,sales/marketing,M
108982,42,sales/marketing,M
111470,29,college/grad student,M
402169,34,sales/marketing,M
139540,50,doctor/health care,M
108054,34,executive/managerial,M
268983,33,executive/managerial,M
92182,31,executive/managerial,M
306599,25,college/grad student,M
444981,29,self-employed,M
269647,31,college/grad student,F
242387,26,executive/managerial,M
66067,25,college/grad student,M
276381,27,college/grad student,M
362500,87,academic/educator,F
156418,80,retired,F
120317,33,college/grad student,M
28412,31,other or not specified,M
222916,27,executive/managerial,M
251698,32,scientist,M
42293,29,college/grad student,M
156728,26,college/grad student,M
90041,21,sales/marketing,M
98137,29,self-employed,M
278380,27,executive/managerial,M
33164,27,clerical/admin,F
294061,82,other or not specified,M
410014,31,executive/managerial,M
164243,70,executive/managerial,M
198845,45,academic/educator,F
241840,30,college/grad student,M
401161,52,executive/managerial,M
186602,28,artist,M
384349,18,self-employed,F
437850,18,homemaker,F
342326,26,executive/managerial,M
53027,27,scientist,M
199059,29,scientist,M
104098,34,scientist,F
296219,29,sales/marketing,M
101706,34,executive/managerial,M
357289,26,executive/managerial,M
75165,33,executive/managerial,M
109792,32,self-employed,M
429147,34,college/grad student,M
96551,30,sales/marketing,M
63128,32,self-employed,M
68238,25,college/grad student,M
339629,22,college/grad student,M
411266,45,sales/marketing,M
416853,32,college/grad student,F
154486,25,executive/managerial,M
228365,61,clerical/admin,M
407281,18,homemaker,M
106762,33,academic/educator,F
354841,30,scientist,M
9150,32,other or not specified,M
342421,29,executive/managerial,M
291132,31,college/grad student,F
194303,28,executive/managerial,M
1484,29,college/grad student,M
125368,29,executive/managerial,M
24516,33,executive/managerial,M
111779,30,self-employed,M
53248,32,college/grad student,M
200173,31,scientist,M
153111,34,executive/managerial,M
241982,25,executive/managerial,M
302341,20,artist,M
314865,26,executive/managerial,M
290098,36,homemaker,M
17037,25,executive/managerial,F
130059,29,executive/managerial,M
398230,30,self-employed,M
175084,28,other or not specified,M
196337,25,executive/managerial,M
446780,28,executive/managerial,F
261302,31,college/grad student,M
65630,32,college/grad student,M
375669,33,executive/managerial,M
19190,26,sales/marketing,F
298733,25,other or not specified,M
241966,32,executive/managerial,M
43023,30,artist,M
384874,47,other or not specified,M
115837,27,other or not specified,M
50649,29,college/grad student,M
21519,33,scientist,M
218420,32,scientist,M
358492,24,K-12 student,M
38533,29,executive/managerial,M
29530,30,academic/educator,F
71470,34,executive/managerial,M
253719,30,college/grad student,M
408661,32,self-employed,M
52385,29,sales/marketing,M
74826,30,college/grad student,M
398721,34,college/grad student,M
71097,27,artist,F
191096,30,self-employed,M
387869,29,college/grad student,M
305998,30,academic/educator,F
339713,31,scientist,M
176279,32,academic/educator,M
368702,19,sales/marketing,M
428182,27,technician/engineer,M
203846,29,other or not specified,M
216324,27,sales/marketing,F
78910,32,executive/managerial,M
316143,20,college/grad student,M
330957,31,self-employed,M
144349,30,scientist,M
18027,29,artist,M
100585,30,executive/managerial,M
215581,26,executive/managerial,M
378985,27,college/grad student,M
403992,29,executive/managerial,M
143641,34,executive/managerial,M
332923,14,K-12 student,M
119384,34,sales/marketing,M
224521,29,executive/managerial,M
321684,33,sales/marketing,F
31109,29,college/grad student,M
206723,24,artist,M
190329,33,sales/marketing,M
145557,29,technician/engineer,M
119588,31,other or not specified,F
236912,33,clerical/admin,M
290640,31,self-employed,M
179295,28,executive/managerial,M
200939,16,K-12 student,M
38431,34,college/grad student,M
116722,33,sales/marketing,M
216116,34,sales/marketing,M
180653,33,college/grad student,M
41933,34,college/grad student,M
87118,30,clerical/admin,M
241212,18,K-12 student,M
41630,23,sales/marketing,M
191289,30,college/grad student,M
371991,43,sales/marketing,M
229037,29,sales/marketing,M
3546,37,college/grad student,F
240614,27,sales/marketing,M
403955,33,other or not specified,M
432293,26,sales/marketing,M
134553,34,college/grad student,M
129892,23,college/grad student,M
272957,8,sales/marketing,M
379163,35,college/grad student,M
354915,25,executive/managerial,M
202315,26,executive/managerial,M
62750,32,other or not specified,F
169810,32,other or not specified,M
136339,25,other or not specified,M
169261,27,retired,M
103940,33,self-employed,F
319577,29,executive/managerial,M
53358,18,sales/marketing,M
287627,26,academic/educator,F
213308,30,artist,M
388144,28,scientist,M
104047,29,executive/managerial,M
322024,32,college/grad student,M
146170,25,college/grad student,M
161399,34,college/grad student,F
13514,32,scientist,M
408483,28,executive/managerial,M
259825,22,other or not specified,M
425686,18,sales/marketing,M
130814,26,academic/educator,M
415052,33,college/grad student,M
12981,30,academic/educator,F
108941,44,executive/managerial,M
341245,27,college/grad student,M
278646,27,college/grad student,M
49645,26,sales/marketing,M
427497,27,college/grad student,M
387168,34,sales/marketing,M
283523,19,college/grad student,F
414041,32,scientist,M
280203,31,scientist,F
164994,73,retired,F
140671,31,college/grad student,M
266598,36,sales/marketing,M
57035,32,scientist,M
168147,12,scientist,M
259585,33,executive/managerial,M
368891,41,homemaker,F
358104,32,sales/marketing,M
56529,33,academic/educator,M
286096,28,programmer,M
187243,29,self-employed,M
60838,25,college/grad student,M
155607,30,scientist,M
69018,34,K-12 student,M
277026,31,self-employed,F
306193,32,sales/marketing,M
54700,34,self-employed,M
238655,32,self-employed,F
310660,35,executive/managerial,M
254863,47,college/grad student,F
62373,11,academic/educator,M
228331,36,other or not specified,M
342524,34,sales/marketing,M
64251,27,college/grad student,M
7885,27,executive/managerial,M
198670,27,executive/managerial,M
71395,25,academic/educator,M
27782,30,executive/managerial,M
160736,26,college/grad student,M
322449,29,scientist,M
270738,29,college/grad student,F
308962,33,executive/managerial,M
324658,32,college/grad student,M
287562,27,sales/marketing,M
212790,26,college/grad student,M
403414,30,sales/marketing,M
199362,18,sales/marketing,M
231101,29,college/grad student,M
134340,26,sales/marketing,M
370885,32,scientist,M
190805,26,college/grad student,F
302194,29,college/grad student,M
7507,28,college/grad student,M
308258,28,self-employed,M
447173,26,college/grad student,M
368989,25,scientist,F
300404,25,executive/managerial,M
315883,27,executive/managerial,M
116431,69,retired,F
21810,29,technician/engineer,M
163019,29,executive/managerial,M
77154,28,executive/managerial,M
284344,33,technician/engineer,M
343646,28,college/grad student,M
231313,28,executive/managerial,M
209028,25,other or not specified,F
367635,18,K-12 student,M
147082,31,executive/managerial,M
161144,34,artist,M
206736,27,executive/managerial,M
182383,27,other or not specified,M
10602,43,technician/engineer,M
40138,29,college/grad student,M
170843,32,executive/managerial,M
4361,28,college/grad student,M
126111,30,self-employed,M
62333,25,college/grad student,M
253885,32,executive/managerial,M
232925,28,scientist,M
319110,27,scientist,M
27801,32,other or not specified,M
192936,39,tradesman/craftsman,M
26145,30,self-employed,F
1996,46,academic/educator,F
341604,32,self-employed,M
262894,25,self-employed,M
324,33,college/grad student,M
211344,26,executive/managerial,M
59167,33,sales/marketing,M
120907,25,college/grad student,M
127607,32,college/grad student,F
92646,31,college/grad student,F
240599,38,programmer,M
402182,27,executive/managerial,M
131077,27,sales/marketing,M
183202,18,K-12 student,M
178345,35,self-employed,M
367737,25,college/grad student,M
339786,31,self-employed,M
213863,34,self-employed,M
33640,9,K-12 student,M
448078,34,sales/marketing,M
206709,29,college/grad student,M
75854,27,other or not specified,M
430341,34,executive/managerial,M
297246,32,college/grad student,M
169479,29,scientist,M
263448,34,sales/marketing,M
2395,30,sales/marketing,M
33592,25,executive/managerial,F
224786,51,executive/managerial,F
439497,26,college/grad student,M
404804,17,tradesman/craftsman,M
332974,30,executive/managerial,M
404904,34,college/grad student,M
66061,31,executive/managerial,M
441353,33,executive/managerial,M
236231,33,homemaker,M
96116,27,sales/marketing,M
173111,30,college/grad student,M
266084,28,college/grad student,M
82095,29,executive/managerial,M
25012,28,sales/marketing,M
324846,18,K-12 student,M
163504,29,scientist,M
59919,18,college/grad student,M
114896,30,executive/managerial,M
368265,30,sales/marketing,M
178300,29,sales/marketing,M
142532,32,academic/educator,F
367848,34,college/grad student,M
161941,53,academic/educator,F
31465,25,scientist,M
435409,27,college/grad student,M
99816,32,sales/marketing,M
308490,31,academic/educator,M
360847,28,sales/marketing,M
176064,30,sales/marketing,M
40283,18,sales/marketing,M
437069,25,sales/marketing,M
309880,26,executive/managerial,M
337909,32,college/grad student,M
120360,26,college/grad student,M
61928,31,executive/managerial,M
328833,41,executive/managerial,F
311858,29,self-employed,M
240021,26,executive/managerial,M
130289,31,college/grad student,M
39371,31,college/grad student,F
14450,27,executive/managerial,M
440117,33,college/grad student,M
284634,29,other or not specified,M
337610,11,scientist,M
113570,28,executive/managerial,M
351334,75,artist,F
287344,26,college/grad student,F
164012,21,artist,F
374325,31,sales/marketing,M
313133,29,college/grad student,M
410883,25,college/grad student,M
170785,21,other or not specified,F
23086,31,K-12 student,M
206436,30,college/grad student,M
207006,26,college/grad student,M
199779,34,self-employed,F
353573,29,college/grad student,M
57859,21,K-12 student,M
418662,38,artist,F
262873,32,college/grad student,M
61731,33,college/grad student,M
269194,25,sales/marketing,M
11015,27,technician/engineer,M
177816,28,college/grad student,M
403479,32,self-employed,F
53065,32,college/grad student,M
376783,38,sales/marketing,M
367165,30,sales/marketing,M
185730,30,other or not specified,M
101544,29,college/grad student,M
427015,33,executive/managerial,M
239592,30,self-employed,M
235258,72,retired,F
35159,38,retired,M
436934,33,sales/marketing,F
400682,46,executive/managerial,M
108749,30,college/grad student,M
57234,32,programmer,M
108285,46,sales/marketing,M
72544,28,college/grad student,F
100383,32,K-12 student,M
252316,33,self-employed,M
273701,27,homemaker,M
271371,26,scientist,M
434083,34,artist,M
361869,18,scientist,M
75799,21,sales/marketing,M
349054,33,other or not specified,M
368163,33,sales/marketing,M
143023,32,self-employed,M
420311,21,K-12 student,M
86777,27,sales/marketing,M
143736,30,homemaker,M
402802,27,college/grad student,M
436637,30,homemaker,M
279476,34,college/grad student,M
429164,26,retired,F
151636,30,college/grad student,M
417240,30,sales/marketing,M
288931,25,college/grad student,M
29316,28,scientist,M
140585,31,scientist,M
405573,21,sales/marketing,M
259220,28,scientist,M
128873,18,sales/marketing,M
60524,32,other or not specified,M
39484,29,executive/managerial,M
200812,34,self-employed,M
105477,27,college/grad student,M
238335,27,self-employed,M
56890,34,other or not specified,M
51202,27,college/grad student,M
317963,26,scientist,M
191793,18,K-12 student,M
114233,25,college/grad student,M
305322,30,sales/marketing,M
416818,32,clerical/admin,M
285070,27,college/grad student,M
65909,39,academic/educator,M
20306,29,college/grad student,M
146688,11,K-12 student,M
119429,29,executive/managerial,M
236786,31,executive/managerial,M
444105,26,sales/marketing,M
67779,30,college/grad student,M
448735,30,sales/marketing,M
166758,26,K-12 student,M
406581,25,executive/managerial,M
129414,29,college/grad student,M
249192,28,academic/educator,F
42939,18,K-12 student,F
406120,27,executive/managerial,M
397396,30,college/grad student,M
323206,31,executive/managerial,M
375519,27,college/grad student,M
344285,31,college/grad student,M
424279,25,college/grad student,M
384126,34,sales/marketing,M
315070,27,college/grad student,F
428170,56,scientist,M
64460,26,academic/educator,M
388829,20,sales/marketing,M
31342,27,executive/managerial,M
236295,21,sales/marketing,M
95495,25,scientist,M
91078,27,sales/marketing,M
163082,25,executive/managerial,M
321467,26,academic/educator,F
302852,28,homemaker,M
87776,27,programmer,M
419208,27,scientist,M
95764,24,sales/marketing,M
226761,34,sales/marketing,M
312978,32,artist,M
88337,27,homemaker,M
249503,32,college/grad student,M
358364,31,sales/marketing,M
308538,32,artist,M
57053,29,sales/marketing,M
123467,28,self-employed,M
237774,30,sales/marketing,F
294107,34,executive/managerial,M
228518,32,scientist,M
311053,29,technician/engineer,F
97848,26,other or not specified,M
133127,34,executive/managerial,M
163809,30,sales/marketing,F
272893,30,executive/managerial,M
274151,31,scientist,M
81395,25,scientist,M
432778,25,college/grad student,M
80639,34,academic/educator,M
426438,27,sales/marketing,M
221616,22,sales/marketing,M
74737,34,sales/marketing,M
335857,26,sales/marketing,M
443672,33,self-employed,M
16535,27,self-employed,M
131293,33,scientist,M
63798,25,sales/marketing,M
145044,30,college/grad student,M
123847,34,artist,M
126212,32,academic/educator,M
173526,34,scientist,M
235081,34,scientist,M
44012,26,tradesman/craftsman,M
144355,25,academic/educator,F
338956,34,college/grad student,F
120636,29,college/grad student,M
300475,27,customer service,M
236022,30,sales/marketing,M
174431,31,scientist,M
301350,29,clerical/admin,M
24274,27,self-employed,F
375205,19,scientist,F
79185,26,executive/managerial,M
75623,23,sales/marketing,M
227909,33,college/grad student,M
436450,33,college/grad student,M
58085,30,other or not specified,M
152986,11,K-12 student,F
195007,32,scientist,M
249375,26,executive/managerial,M
59756,32,K-12 student,F
304718,29,executive/managerial,F
34188,20,scientist,M
132355,20,college/grad student,F
422424,34,technician/engineer,M
399561,39,sales/marketing,M
429319,19,scientist,M
126687,32,self-employed,F
409177,29,executive/managerial,M
439588,30,executive/managerial,M
360769,30,college/grad student,M
81887,31,retired,M
111651,28,clerical/admin,M
413914,25,tradesman/craftsman,M
60225,31,scientist,F
376780,28,clerical/admin,M
343497,52,sales/marketing,F
