userid,tmdb_id,movieid,popularity,vote_average,rating
276395,27506,west+of+zanzibar+1928,0.722511,6.2,3
139854,99,all+about+my+mother+1999,10.000915,7.4,3
245542,4974,five+times+two+2004,4.545971,6.0,4
270109,91603,the+magic+of+mlis+1997,0.072361,7.5,4
181274,15144,sixteen+candles+1984,6.683723,6.9,3
256940,12596,pushing+tin+1999,7.073467,5.7,4
375622,11831,amistad+1997,2.263584,6.8,3
354114,193212,the+man+who+captured+eichmann+1996,1.171478,4.3,4
337281,270303,it+follows+2015,20.359336,6.6,3
418130,855,black+hawk+down+2001,10.064446,7.2,4
247188,64320,good+neighbours+2011,8.90645,6.0,4
242031,91426,princess+yang+kwei+fei+1955,1.318545,6.7,4
389690,775,a+trip+to+the+moon+1902,6.321801,7.9,3
332658,63954,honest+man+the+life+of+r.+budd+dwyer+2010,0.041326,6.0,4
225428,84972,chronicle+of+a+summer+1961,0.405373,6.5,4
446056,215211,grace+of+monaco+2014,6.773278,5.8,4
156942,12808,ninas+heavenly+delights+2006,0.770878,6.7,3
8515,123772,mister+johnson+1990,5.309937,5.8,3
98380,1367,rocky+ii+1979,11.789813,6.9,3
284329,129,spirited+away+2001,41.048867,8.3,5
240759,15438,my+stars+2008,1.054069,4.8,4
425734,2330,taxi+1998,7.668149,6.5,2
66914,1895,star+wars+episode+iii+-+revenge+of+the+sith+2005,13.165421,7.1,4
311853,300,the+science+of+sleep+2006,10.603991,6.8,4
420371,473,pi+1998,10.621362,7.1,5
432951,34106,you+cant+take+it+with+you+1938,4.370592,7.2,4
295299,581,dances+with+wolves+1990,11.654349,7.6,4
106367,15371,lupin+the+third+the+castle+of+cagliostro+1979,7.932795,7.5,4
150151,43346,genevieve+1953,1.152132,6.3,2
231166,15258,the+aristocrats+2005,3.898364,6.0,3
163724,800,los+olvidados+1950,3.563355,7.9,2
378912,13053,bolt+2008,15.580915,6.3,4
82514,253295,manny+2014,2.711057,6.4,3
190574,81,nausica+of+the+valley+of+the+wind+1984,11.267366,7.7,4
371786,2112,payback+1999,9.112008,6.7,4
133602,85290,the+hawaiians+1970,0.729092,5.9,4
48990,13915,waydowntown+2000,0.506962,6.0,3
133790,238952,along+the+coast+1958,0.382091,9.0,2
404954,7291,36th+precinct+2004,12.727685,6.7,4
146920,119569,marvel+one-shot+item+47+2012,5.569008,6.6,3
11323,238,the+godfather+1972,41.109264,8.5,4
148394,10435,chaplin+1992,8.243107,7.5,4
92154,42500,lawman+1971,1.739038,6.5,4
282925,111014,dead+silent+1999,0.259613,4.1,3
60538,49474,go+now+1995,0.153884,0.0,4
426726,24874,dark+mirror+2007,2.123997,4.5,3
263349,3170,bambi+1942,13.698132,6.8,4
33936,550,fight+club+1999,63.869599,8.3,4
216245,44708,blue+gate+crossing+2002,2.389238,7.2,4
147227,8393,the+gods+must+be+crazy+1980,10.973482,7.1,4
263763,762,monty+python+and+the+holy+grail+1975,10.43389,7.8,5
161388,4638,hot+fuzz+2007,13.535195,7.4,4
199377,81543,so+much+so+fast+2006,0.074118,8.5,4
360115,3112,the+night+of+the+hunter+1955,7.892337,7.9,4
321098,30653,the+best+of+times+1986,5.655712,6.0,4
212891,36850,a+new+leaf+1971,2.03483,7.1,3
269718,57529,ghost+voyage+2008,0.900107,5.4,3
411335,170687,the+boxtrolls+2014,11.563909,6.6,4
178848,82469,the+kick+2011,1.782494,5.1,3
407982,27899,little+caesar+1931,9.019985,6.9,4
121648,45035,king+and+the+clown+2005,2.793366,6.9,5
146811,256474,in+the+blood+2014,6.332859,5.2,3
216255,38925,the+lords+of+flatbush+1974,1.391503,5.7,4
180837,409,the+english+patient+1996,15.564161,7.0,3
195054,140783,a+mothers+courage+2009,0.04013,5.0,3
3427,672,harry+potter+and+the+chamber+of+secrets+2002,29.741452,7.4,4
38932,318224,going+clear+scientology+and+the+prison+of+belief+2015,5.887113,7.7,4
152402,32047,prince+of+the+city+1981,3.598627,7.3,3
84863,127973,six+of+a+kind+1934,0.52878,3.5,4
331251,17025,look+2007,1.282833,5.9,4
374236,60579,hey+ram+2000,0.562097,6.7,4
48087,27197,an+actors+revenge+1963,1.616275,6.6,4
143882,1547,the+lost+boys+1987,9.099731,6.8,3
343394,603,the+matrix+1999,33.366332,7.9,5
347596,492,being+john+malkovich+1999,11.416319,7.3,4
123989,119010,sasquatch_+the+legend+of+bigfoot+1976,4.2e-05,0.0,4
146929,2252,eastern+promises+2007,9.897909,7.2,4
267471,14272,chan+is+missing+1982,0.506267,7.5,4
176184,44388,it+had+to+be+you+2000,0.608227,5.8,3
89134,812,aladdin+1992,16.357419,7.4,4
37296,39504,moolaad+2004,0.759538,5.9,4
183974,588,silent+hill+2006,7.938457,6.3,3
376072,270303,it+follows+2015,20.359336,6.6,3
21529,11291,the+brothers+lionheart+1977,2.820184,6.9,4
195613,801,good+morning_+vietnam+1987,9.023282,7.1,4
21775,6964,somethings+gotta+give+2003,8.524847,6.3,5
131240,27205,inception+2010,29.108149,8.1,4
422618,45269,the+kings+speech+2010,11.260387,7.6,4
114134,2140,kiss+of+the+dragon+2001,7.637345,6.4,5
2243,8587,the+lion+king+1994,21.605761,8.0,4
412515,10681,walle+2008,16.088366,7.8,4
49517,21334,children+of+heaven+1997,7.523517,7.8,4
74194,57212,war+horse+2011,8.166363,7.0,4
302511,10144,the+little+mermaid+1989,17.496832,7.2,4
25191,8619,master+and+commander+the+far+side+of+the+world+2003,8.693298,6.9,2
211976,121,the+lord+of+the+rings+the+two+towers+2002,29.423537,8.0,4
266653,20301,daisy+kenyon+1947,0.910004,6.4,2
340743,95538,to+die+like+a+man+2009,0.282474,6.4,2
7684,74406,queen+days+of+our+lives+2011,2.129679,6.7,3
28614,59440,warrior+2011,13.121626,7.7,4
220353,49717,god+save+the+king+2005,0.635704,6.9,4
264961,8963,crimson+tide+1995,8.657365,7.0,4
210409,762,monty+python+and+the+holy+grail+1975,10.43389,7.8,4
244344,77449,epitaph+2007,1.096971,6.4,3
38561,296,terminator+3+rise+of+the+machines+2003,20.818907,5.9,2
77287,492,being+john+malkovich+1999,11.416319,7.3,4
405443,679,aliens+1986,21.761179,7.7,3
412475,12559,first+kid+1996,6.510437,5.3,2
117284,45203,once+in+the+life+2000,0.241579,5.5,3
119013,9523,lantana+2001,2.994899,6.4,3
227462,50953,the+great+scout++cathouse+thursday+1976,1.069445,4.4,2
402734,159907,turkish+dance_+ella+lola+1898,0.1019,4.5,3
129855,42632,monterey+pop+1968,8.003836,7.2,5
97633,1939,laura+1944,9.884516,7.6,3
229077,11135,the+rescuers+down+under+1990,1.562471,6.6,3
208665,101791,elfie+hopkins+2012,1.134073,5.5,5
133226,102024,the+bridal+party+in+hardanger+1926,0.001223,0.0,2
181219,251,ghost+1990,11.945397,6.9,4
208954,762,monty+python+and+the+holy+grail+1975,10.43389,7.8,4
394029,7500,sonatine+1993,5.167934,7.3,4
292288,58083,the+haunted+house+1982,1.060676,5.3,4
22999,29056,the+raven+1963,4.817514,6.3,4
37493,41183,dallas+362+2003,0.631613,5.5,3
441399,11220,fallen+angels+1995,5.470351,7.7,4
313919,13678,the+last+trapper+2004,1.614918,6.9,3
385561,86087,hells+highway+1932,0.2851,4.3,3
60291,208700,the+last+chance+diary+of+comedians+2013,1.355089,5.0,3
212921,12444,harry+potter+and+the+deathly+hallows+part+1+2010,23.300362,7.5,4
258326,39319,tales+of+vesperia+the+first+strike+2009,1.227391,5.8,4
122882,116149,paddington+2014,15.686837,7.0,3
415317,705,all+about+eve+1950,12.06308,8.0,4
367798,1405,greed+1924,6.925081,7.5,4
270501,52010,ultramarines+a+warhammer+40_000+movie+2010,2.88558,5.2,3
404080,271007,appointment+in+tokyo+1945,0.002307,0.0,2
52341,34433,dragon+ball+z+broly+-+the+legendary+super+saiyan+1993,7.348249,7.3,3
291406,11324,shutter+island+2010,15.813629,7.8,4
341781,408,snow+white+and+the+seven+dwarfs+1937,16.263878,6.9,4
253729,8355,ice+age+dawn+of+the+dinosaurs+2009,12.980624,6.5,4
422660,15576,bellamy+2009,1.340154,6.1,4
51944,280495,deceit+1992,1.108734,0.0,4
192365,70264,fly+away+2011,0.151612,5.5,3
333336,157375,the+lifeguard+2013,5.499664,5.2,3
335863,425,ice+age+2002,17.328902,7.1,2
296925,5833,caspers+haunted+christmas+2000,3.569907,5.0,4
331298,672,harry+potter+and+the+chamber+of+secrets+2002,29.741452,7.4,3
68548,19119,night+and+the+city+1950,11.80556,7.6,2
165115,12,finding+nemo+2003,25.497794,7.6,4
106598,45226,the+pursuit+of+d.b.+cooper+1981,0.520743,6.8,3
81874,120,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,32.070725,8.0,4
133450,35824,the+navigators+2001,3.514414,6.7,2
388402,36557,casino+royale+2006,23.065078,7.3,4
6327,11259,far+and+away+1992,7.472753,6.3,4
270561,2107,l.a.+story+1991,7.775188,6.4,4
368834,9326,romancing+the+stone+1984,6.827193,6.6,4
93314,237202,a+soldiers+tale+1988,1.162388,5.0,3
444677,43810,down+argentine+way+1940,0.777769,5.7,3
229487,27588,forget+me+not+2009,4.458372,5.0,3
340045,31407,teddy+bear+1981,0.759427,7.8,4
388307,217014,de+nieuwe+wildernis+2013,0.77019,7.7,3
395652,2493,the+princess+bride+1987,15.15267,7.6,5
361487,22383,the+professionals+1966,5.032092,6.8,3
246202,57120,meeks+cutoff+2010,4.725763,6.5,5
35491,807,se7en+1995,18.45743,8.1,5
351829,2655,what+lies+beneath+2000,9.500497,6.3,2
246124,56624,run+if+you+can+2010,0.165787,6.7,4
225624,4539,hearts+of+darkness+a+filmmakers+apocalypse+1991,4.617117,8.0,4
417290,585,monsters_+inc.+2001,26.419962,7.5,4
67989,3934,mnage+1986,2.010505,6.0,4
105298,335340,le+rebelle+1980,0.065675,0.0,4
78244,348,alien+1979,23.37742,7.9,5
305082,782,gattaca+1997,12.89312,7.5,4
252503,38810,dogtooth+2009,17.713581,6.9,4
390640,224141,into+the+woods+2014,9.580785,5.6,3
71147,11101,stalingrad+1993,7.667284,7.4,4
57945,31345,naked+childhood+1968,1.952949,6.4,3
383383,98566,teenage+mutant+ninja+turtles+2014,22.337973,5.8,3
238729,43232,les+girls+1957,6.636057,6.4,2
248882,209271,hateship+loveship+2013,10.608891,5.7,3
242365,8392,my+neighbor+totoro+1988,13.507299,8.0,4
415054,74257,holy+flame+of+the++martial+world+1983,0.009961,6.4,3
142140,126560,bride+of+the+earth+1968,0.074161,5.0,3
7360,9462,the+way+of+the+dragon+1972,11.116474,7.4,4
121752,168261,shadow+of+the+holy+book+2007,0.038829,5.0,3
226515,789,closely+watched+trains+1966,2.160866,7.3,4
102762,27768,some+folks+call+it+a+sling+blade+1994,0.459376,7.5,3
270165,51389,excuse+my+dust+1951,0.06915,0.0,3
101730,62394,the+education+of+little+tree+1997,0.007123,0.0,4
113883,16608,the+proposition+2005,9.387212,7.1,4
343962,34374,murder+by+decree+1979,7.92465,6.5,4
10005,44251,dragon+ball+z+broly+-+second+coming+1994,6.12929,6.5,4
185665,70981,prometheus+2012,16.624854,6.3,4
297821,38757,tangled+2010,14.684761,7.4,4
228780,8275,american+pie+presents+the+naked+mile+2006,8.152676,5.3,2
92642,87,indiana+jones+and+the+temple+of+doom+1984,15.802306,7.1,4
226273,62177,brave+2012,15.876341,6.7,3
268203,310,bruce+almighty+2003,15.947524,6.4,3
141579,4857,farewell_+friend+1968,2.014299,6.4,4
201494,15144,sixteen+candles+1984,6.683723,6.9,5
160273,252529,another+me+2013,5.203937,4.7,3
376590,13967,miss+potter+2006,8.599342,6.3,4
402331,97367,the+place+beyond+the+pines+2013,7.492658,6.8,4
202220,7443,chicken+run+2000,11.834245,6.5,3
39587,210092,if+you+could+see+what+i+hear+1982,0.25422,5.0,3
337498,84286,how+to+survive+a+plague+2012,1.204651,7.5,4
445522,562,die+hard+1988,16.640522,7.5,4
41599,9662,the+triplets+of+belleville+2003,8.35586,7.3,4
446683,228165,the+spongebob+movie+sponge+out+of+water+2015,12.334689,5.7,4
159550,10191,how+to+train+your+dragon+2010,14.416681,7.5,4
32765,250777,to+be+takei+2014,4.641786,6.9,3
385984,57978,meantime+1984,1.509256,6.8,4
364448,13554,eight+men+out+1988,4.861698,7.5,3
401329,288952,evergreen+2004,0.876271,7.0,4
315095,10198,the+princess+and+the+frog+2009,16.616517,6.7,2
59390,9741,unbreakable+2000,14.67855,6.9,3
72301,3865,dark+blue+almost+black+2006,2.486575,6.7,4
79697,183672,whole+2003,0.041972,9.0,3
119320,11257,a+room+with+a+view+1985,6.175166,6.9,4
71120,49636,master+of+the+flying+guillotine+1976,1.863293,5.9,5
368899,11931,in+her+shoes+2005,8.63229,6.0,5
285188,51739,the+secret+world+of+arrietty+2010,8.636052,7.4,4
432941,169832,number+one+with+a+bullet+1987,0.500661,4.5,3
72083,252,willy+wonka++the+chocolate+factory+1971,12.416635,7.4,4
101365,33564,the+swimmer+1968,3.589888,7.4,4
135385,13484,the+foot+fist+way+2006,2.066141,6.0,3
437284,46697,hated++gg+allin++the+murder+junkies+1994,0.822172,7.3,3
116216,75507,dragon+crusaders+2011,1.498691,2.6,3
60472,5896,bolero+1984,1.456485,3.4,4
271038,1591,nowhere+in+africa+2001,3.02027,7.0,5
354741,93456,despicable+me+2+2013,24.82355,7.0,4
132902,28426,invisible+agent+1942,1.48335,5.7,3
63380,40562,committed+2000,0.888545,4.4,2
141923,72163,along+came+jones+1945,0.906365,3.8,3
121900,5121,the+sugarland+express+1974,4.506948,6.4,4
27971,18,the+fifth+element+1997,24.30526,7.3,3
411166,42987,the+servant+1963,6.071204,7.3,3
241627,12806,nico+and+dani+2000,1.847061,5.9,4
367702,9806,the+incredibles+2004,22.220214,7.4,5
233860,3595,ransom+1996,8.772188,6.4,3
244827,24506,the+enemies+of+reason+2007,0.7156,7.5,5
400849,38472,the+trap+1946,0.603541,6.9,4
35278,24860,the+memory+of+a+killer+2003,4.368257,6.4,4
113440,26579,the+heart+is+deceitful+above+all+things+2004,2.789574,5.7,4
264922,39256,godzilla+1985+1984,2.894009,6.7,5
47715,82690,wreck-it+ralph+2012,13.697597,7.1,4
241384,40820,punchline+1988,5.764399,5.1,3
109711,68737,seventh+son+2014,15.297821,5.2,4
114011,9427,the+full+monty+1997,8.333322,6.9,3
223664,9648,the+man+who+sued+god+2001,1.741405,6.1,3
337244,9523,lantana+2001,2.994899,6.4,4
409789,31589,the+bad+sleep+well+1960,4.550823,7.7,4
13694,3121,nashville+1975,9.042678,7.2,4
133765,199072,woman+obsessed+1959,0.91305,6.0,4
124824,278,the+shawshank+redemption+1994,51.645403,8.5,5
149931,49964,where+is+my+friends+house+1987,2.050506,7.8,4
331209,122698,all+the+way+home+1963,1.406094,5.5,4
215977,228165,the+spongebob+movie+sponge+out+of+water+2015,12.334689,5.7,2
378426,16048,all+about+anna+2005,6.614301,2.5,3
185825,1726,iron+man+2008,22.073099,7.4,4
239455,9659,mad+max+1979,11.412619,6.6,4
97890,36527,phar+lap+1983,0.709445,7.3,4
410659,11,star+wars+1977,42.149697,8.1,4
276205,14799,for+your+consideration+2006,12.142183,5.9,3
267563,125161,milky+way+2007,0.074209,2.5,4
185249,15644,paparazzi+2004,12.553403,5.8,3
112377,20497,ballet+shoes+2008,5.828623,6.3,4
305080,14228,mortuary+2005,8.261448,4.0,3
113393,18710,capone+1975,3.669545,6.0,3
99556,10895,pinocchio+1940,14.202284,6.9,3
347068,77285,floating+clouds+1955,1.747874,7.4,3
290904,9316,ong-bak+the+thai+warrior+2003,7.89916,7.0,4
343012,36236,the+witches+1967,2.63039,5.4,3
177010,103425,the+world+according+to+sesame+street+2006,0.219281,8.0,3
271862,57008,alice+in+murderland+2010,0.678476,2.2,3
362666,18197,running+on+empty+1988,4.368078,7.4,4
389900,242582,nightcrawler+2014,21.277073,7.6,3
429451,8588,shooting+dogs+2006,10.81576,7.5,4
26714,280,terminator+2+judgment+day+1991,22.661695,7.7,3
208117,10739,anything+else+2003,11.10416,6.2,4
194807,9731,friday+the+13th+a+new+beginning+1985,9.094477,5.1,2
209689,78,blade+runner+1982,96.272374,7.9,4
311044,8429,paisan+1946,3.080515,7.6,3
75488,29564,smokin+aces+2+assassins+ball+2010,6.102148,5.4,3
387461,33255,stoked+the+rise+and+fall+of+gator+2004,0.782053,7.2,3
213036,244786,whiplash+2014,64.29999,8.3,4
90265,89462,an+inn+in+tokyo+1935,0.702012,6.0,3
249291,10227,playtime+1967,8.741959,8.0,5
224738,205596,the+imitation+game+2014,31.59594,8.0,5
285416,102651,maleficent+2014,19.467404,7.0,4
229269,244267,i+origins+2014,11.901185,7.5,2
349942,31512,memories+of+matsuko+2006,3.175948,7.2,4
424717,70881,anna+karenina+1935,1.810574,6.6,5
75540,177572,big+hero+6+2014,213.849907,7.8,4
141728,621,grease+1978,7.854899,7.2,3
243936,3009,the+trial+1962,5.310729,7.4,4
21809,11,star+wars+1977,42.149697,8.1,5
162186,36498,hail+the+conquering+hero+1944,1.405996,7.1,3
26225,53860,rendezvous+1935,0.147055,5.1,4
107744,12651,memphis+belle+1990,8.854911,6.4,4
242956,8367,robin+hood+prince+of+thieves+1991,10.639244,6.6,4
408975,37255,ween+live+in+chicago+2004,0.043068,10.0,3
171191,114982,goodbye+to+language+2014,2.662659,6.6,3
372800,34767,the+white+stripes+under+great+white+northern+lights+2009,0.383393,6.9,4
425321,3080,top+hat+1935,7.122093,7.4,4
8476,9315,flightplan+2005,12.419851,6.1,3
357059,54663,starting+over+1979,0.597398,6.9,5
87831,8456,never+back+down+2008,14.753931,6.5,3
172702,12429,ponyo+2008,8.470945,7.5,4
102757,33740,thats+entertainment+1974,1.048027,7.9,4
341839,14282,ninja+scroll+1993,7.634365,7.4,5
153648,6547,schtonk+1992,0.865615,6.7,4
416823,242582,nightcrawler+2014,21.277073,7.6,5
214594,109560,new+york+cop+1993,0.004537,0.0,3
45597,1630,the+people+vs.+larry+flynt+1996,9.178371,6.8,4
125005,207774,the+borderlands+2013,4.73755,5.1,4
251554,133459,the+anderssons+in+greece+all+inclusive+2012,4.172291,5.2,3
440878,11060,internal+affairs+1990,5.439942,6.5,4
148603,13428,two+hands+1999,9.289588,6.4,4
422741,188538,remember+sunday+2013,11.190606,7.0,3
192146,28118,the+gruffalo+2009,8.575933,6.7,4
201891,140071,seize+the+day+1986,1.916869,5.8,4
42949,42726,a+man+and+a+woman+1966,2.924112,7.2,5
188692,346,seven+samurai+1954,15.01777,8.2,5
359706,11152,the+ruins+2008,7.192452,5.6,4
380191,762,monty+python+and+the+holy+grail+1975,10.43389,7.8,4
269434,646,dr.+no+1962,19.931606,6.9,2
67701,58496,senna+2010,11.331859,8.1,4
157857,20544,something+the+lord+made+2004,3.260102,7.5,5
11318,56693,dillinger+is+dead+1969,1.059382,6.5,4
161386,18264,the+man+from+laramie+1955,5.678463,6.8,3
351743,56178,beauty+prize+1930,0.444066,0.0,5
196024,24223,brides+2004,1.194912,6.7,2
267464,22681,homecoming+2009,6.650064,5.6,3
300195,863,toy+story+2+1999,17.547693,7.3,4
249392,78,blade+runner+1982,96.272374,7.9,3
173316,9316,ong-bak+the+thai+warrior+2003,7.89916,7.0,4
211162,82731,the+three+musketeers+1921,0.310953,5.7,4
414851,14673,savage+streets+1984,1.525307,6.5,2
380202,1495,kingdom+of+heaven+2005,16.296471,6.6,3
76349,11850,invasion+of+the+body+snatchers+1978,5.219641,7.1,4
223696,348,alien+1979,23.37742,7.9,5
143109,11324,shutter+island+2010,15.813629,7.8,5
400106,83443,girl+model+2011,1.904093,6.5,3
97886,44441,different+from+the+others+1919,0.289991,7.0,3
63789,8393,the+gods+must+be+crazy+1980,10.973482,7.1,5
222571,11439,the+ghost+writer+2010,6.76482,6.7,4
96011,64528,amuck+1972,1.157955,6.3,3
34641,14830,doctor+strange+2007,10.025137,6.6,5
8383,521,dial+m+for+murder+1954,7.853231,7.9,5
141134,4922,the+curious+case+of+benjamin+button+2008,17.934821,7.3,4
310323,25004,black+ice+2007,1.238266,5.4,5
79202,48288,small+town+gay+bar+2007,0.87638,5.7,4
343968,249170,dinosaur+13+2014,3.22314,7.0,3
90988,12456,the+five+obstructions+2003,5.714251,6.7,4
420324,769,goodfellas+1990,15.424092,8.2,5
5001,585,monsters_+inc.+2001,26.419962,7.5,5
145371,36093,behind+the+sun+2001,1.836865,6.4,3
168771,41602,charlie+countryman+2013,9.609726,6.4,4
288535,39210,somewhere+2010,7.098301,6.0,4
430571,6609,keoma+1976,2.739487,6.3,3
260608,21028,moscow+does+not+believe+in+tears+1980,3.494578,7.9,5
13940,101,leon+the+professional+1994,20.477329,8.2,4
6603,27205,inception+2010,29.108149,8.1,5
279038,36832,born+in+flames+1983,0.000578,6.7,5
3214,759,gentlemen+prefer+blondes+1953,7.174547,7.1,4
281733,109455,little+girl+2009,0.327436,7.1,4
63478,152584,blue+is+the+warmest+color+2013,4.938148,7.2,4
406743,108,three+colors+blue+1993,8.843517,7.7,5
29083,18094,anvil+the+story+of+anvil+2008,3.414041,7.7,4
265794,26964,family+viewing+1987,1.131486,5.7,2
201993,22,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,47.326665,7.5,4
31817,10064,edison+2005,5.394304,5.4,3
261064,14195,cecil+b.+demented+2000,7.000983,6.2,3
207101,64022,lumikuningatar+1986,0.000578,7.0,4
55605,119324,prime+suspect+1991,2.104104,7.5,5
242835,15370,the+cat+returns+2002,11.639023,7.2,4
297407,11,star+wars+1977,42.149697,8.1,4
377564,22794,cloudy+with+a+chance+of+meatballs+2009,11.665693,6.5,3
226314,75170,third+star+2010,2.380795,7.5,4
343570,13,forrest+gump+1994,48.307194,8.2,5
361412,8966,twilight+2008,31.282029,5.8,2
429466,9099,sgt.+bilko+1996,5.70904,5.5,3
66016,11970,hercules+1997,14.048694,7.3,3
398958,132641,wife+1953,0.096079,0.0,4
16127,791,the+fog+2005,9.929809,3.8,2
427274,950,ice+age+the+meltdown+2006,16.646029,6.5,3
330776,10191,how+to+train+your+dragon+2010,14.416681,7.5,4
85811,83660,paradise+lost+3+purgatory+2011,2.84239,7.6,2
186622,46705,blue+valentine+2010,11.107914,6.9,4
8426,4762,the+lost+honor+of+katharina+blum+1975,7.172922,7.2,4
137053,14808,battle+of+the+warriors+2006,4.086148,6.3,3
415785,12276,the+road+home+1999,2.611492,7.7,4
372952,12232,the+thief+of+bagdad+1940,3.428166,7.5,3
260307,11916,two+mules+for+sister+sara+1970,10.072738,6.6,5
337270,782,gattaca+1997,12.89312,7.5,4
37208,26234,10+rillington+place+1971,2.99988,6.9,3
297884,28978,the+circus+1928,6.714813,8.0,4
164399,109962,rich+and+famous+1981,12.180836,4.9,4
258924,14836,coraline+2009,16.639915,7.3,4
404603,2062,ratatouille+2007,20.50803,7.5,4
124106,228150,fury+2014,36.713807,7.4,3
379918,6471,the+jerk+1979,5.873021,7.0,4
196235,288312,the+gold+bug+2014,0.19059,0.0,3
215257,1115,ghosts+2005,0.744845,6.8,4
246773,30860,0605+2004,0.903115,5.6,4
290853,29496,cut-throats+nine+1972,0.24991,6.8,3
439789,280,terminator+2+judgment+day+1991,22.661695,7.7,5
220038,26298,here+and+elsewhere+1976,0.479079,5.7,4
9032,23908,a+midnight+clear+1992,7.210452,6.9,4
316616,10138,iron+man+2+2010,19.083344,6.6,4
107633,157099,better+living+through+chemistry+2014,7.392294,5.9,3
353577,2084,birthday+girl+2001,6.271279,6.1,3
267285,82642,dive+2010,0.119402,6.2,4
39113,14635,the+rookie+2002,10.991137,6.5,5
313560,49026,the+dark+knight+rises+2012,20.58258,7.6,4
291245,11468,salton+sea+2002,12.106615,7.0,4
42882,53798,father+takes+a+wife+1941,0.053283,5.0,3
167936,1479,clean_+shaven+1993,3.143971,7.0,4
431843,20362,cry+of+the+city+1948,1.548359,6.1,3
31995,57158,the+hobbit+the+desolation+of+smaug+2013,20.644776,7.6,4
62294,262088,chocolate+strawberry+vanilla+2013,1.209092,6.1,3
425357,16250,love+comes+softly+2003,1.807464,6.2,4
247459,50072,forbidden+1932,0.37014,6.1,4
390168,51429,female+yakuza+tale+1973,1.041534,6.6,4
181659,8392,my+neighbor+totoro+1988,13.507299,8.0,3
14680,1653,the+motorcycle+diaries+2004,7.667491,7.2,4
84239,1786,au+revoir+les+enfants+1987,8.052387,7.5,4
12945,71378,stevie+nicks+live+at+red+rocks+1987,0.341085,7.0,3
