movieid,genres,belongs_to_collection,popularity,vote_average
go+now+1995,10749,0,0.153884,0.0
dark+mirror+2007,27,0,2.123997,4.5
bambi+1942,16,1,13.698132,6.8
fight+club+1999,18,0,63.869599,8.3
blue+gate+crossing+2002,18,0,2.389238,7.2
the+gods+must+be+crazy+1980,28,1,10.973482,7.1
monty+python+and+the+holy+grail+1975,12,0,10.43389,7.8
hot+fuzz+2007,80,0,13.535195,7.4
so+much+so+fast+2006,99,0,0.074118,8.5
the+night+of+the+hunter+1955,53,0,7.892337,7.9
the+best+of+times+1986,35,0,5.655712,6.0
a+new+leaf+1971,35,0,2.03483,7.1
ghost+voyage+2008,27,0,0.900107,5.4
the+boxtrolls+2014,16,0,11.563909,6.6
the+kick+2011,35,0,1.782494,5.1
little+caesar+1931,18,0,9.019985,6.9
king+and+the+clown+2005,18,0,2.793366,6.9
in+the+blood+2014,28,0,6.332859,5.2
the+lords+of+flatbush+1974,18,0,1.391503,5.7
the+english+patient+1996,18,0,15.564161,7.0
a+mothers+courage+2009,0,0,0.04013,5.0
harry+potter+and+the+chamber+of+secrets+2002,12,1,29.741452,7.4
going+clear+scientology+and+the+prison+of+belief+2015,99,0,5.887113,7.7
prince+of+the+city+1981,18,0,3.598627,7.3
six+of+a+kind+1934,35,0,0.52878,3.5
look+2007,18,0,1.282833,5.9
hey+ram+2000,18,0,0.562097,6.7
an+actors+revenge+1963,18,0,1.616275,6.6
the+lost+boys+1987,27,1,9.099731,6.8
the+matrix+1999,28,1,33.366332,7.9
being+john+malkovich+1999,14,0,11.416319,7.3
sasquatch_+the+legend+of+bigfoot+1976,99,0,4.2e-05,0.0
eastern+promises+2007,53,0,9.897909,7.2
chan+is+missing+1982,28,0,0.506267,7.5
it+had+to+be+you+2000,35,0,0.608227,5.8
aladdin+1992,16,1,16.357419,7.4
moolaad+2004,18,0,0.759538,5.9
silent+hill+2006,27,1,7.938457,6.3
it+follows+2015,27,0,20.359336,6.6
the+brothers+lionheart+1977,12,0,2.820184,6.9
good+morning_+vietnam+1987,35,0,9.023282,7.1
somethings+gotta+give+2003,18,0,8.524847,6.3
inception+2010,28,0,29.108149,8.1
the+kings+speech+2010,18,0,11.260387,7.6
kiss+of+the+dragon+2001,28,0,7.637345,6.4
the+lion+king+1994,10751,1,21.605761,8.0
walle+2008,16,0,16.088366,7.8
children+of+heaven+1997,18,0,7.523517,7.8
war+horse+2011,18,0,8.166363,7.0
the+little+mermaid+1989,16,1,17.496832,7.2
master+and+commander+the+far+side+of+the+world+2003,12,0,8.693298,6.9
the+lord+of+the+rings+the+two+towers+2002,12,1,29.423537,8.0
daisy+kenyon+1947,18,0,0.910004,6.4
to+die+like+a+man+2009,18,0,0.282474,6.4
queen+days+of+our+lives+2011,99,0,2.129679,6.7
warrior+2011,28,0,13.121626,7.7
god+save+the+king+2005,35,0,0.635704,6.9
crimson+tide+1995,28,0,8.657365,7.0
monty+python+and+the+holy+grail+1975,12,0,10.43389,7.8
epitaph+2007,27,0,1.096971,6.4
terminator+3+rise+of+the+machines+2003,28,1,20.818907,5.9
being+john+malkovich+1999,14,0,11.416319,7.3
aliens+1986,27,1,21.761179,7.7
first+kid+1996,35,0,6.510437,5.3
once+in+the+life+2000,28,0,0.241579,5.5
lantana+2001,80,0,2.994899,6.4
the+great+scout++cathouse+thursday+1976,28,0,1.069445,4.4
turkish+dance_+ella+lola+1898,0,0,0.1019,4.5
monterey+pop+1968,99,1,8.003836,7.2
laura+1944,18,0,9.884516,7.6
the+rescuers+down+under+1990,12,1,1.562471,6.6
elfie+hopkins+2012,27,0,1.134073,5.5
the+bridal+party+in+hardanger+1926,18,0,0.001223,0.0
ghost+1990,14,0,11.945397,6.9
monty+python+and+the+holy+grail+1975,12,0,10.43389,7.8
sonatine+1993,28,0,5.167934,7.3
the+haunted+house+1982,35,0,1.060676,5.3
the+raven+1963,35,0,4.817514,6.3
dallas+362+2003,18,0,0.631613,5.5
fallen+angels+1995,18,0,5.470351,7.7
the+last+trapper+2004,12,0,1.614918,6.9
hells+highway+1932,80,0,0.2851,4.3
the+last+chance+diary+of+comedians+2013,35,0,1.355089,5.0
harry+potter+and+the+deathly+hallows+part+1+2010,12,1,23.300362,7.5
tales+of+vesperia+the+first+strike+2009,28,0,1.227391,5.8
paddington+2014,10751,0,15.686837,7.0
all+about+eve+1950,18,0,12.06308,8.0
greed+1924,18,0,6.925081,7.5
ultramarines+a+warhammer+40_000+movie+2010,16,0,2.88558,5.2
appointment+in+tokyo+1945,99,0,0.002307,0.0
dragon+ball+z+broly+-+the+legendary+super+saiyan+1993,16,1,7.348249,7.3
shutter+island+2010,18,0,15.813629,7.8
snow+white+and+the+seven+dwarfs+1937,14,0,16.263878,6.9
ice+age+dawn+of+the+dinosaurs+2009,16,1,12.980624,6.5
bellamy+2009,18,0,1.340154,6.1
deceit+1992,878,0,1.108734,0.0
fly+away+2011,18,0,0.151612,5.5
the+lifeguard+2013,18,0,5.499664,5.2
ice+age+2002,16,1,17.328902,7.1
caspers+haunted+christmas+2000,16,1,3.569907,5.0
harry+potter+and+the+chamber+of+secrets+2002,12,1,29.741452,7.4
night+and+the+city+1950,18,0,11.80556,7.6
finding+nemo+2003,16,1,25.497794,7.6
the+pursuit+of+d.b.+cooper+1981,12,0,0.520743,6.8
the+lord+of+the+rings+the+fellowship+of+the+ring+2001,12,1,32.070725,8.0
the+navigators+2001,18,0,3.514414,6.7
casino+royale+2006,12,1,23.065078,7.3
far+and+away+1992,12,0,7.472753,6.3
l.a.+story+1991,35,0,7.775188,6.4
romancing+the+stone+1984,28,1,6.827193,6.6
a+soldiers+tale+1988,10749,0,1.162388,5.0
down+argentine+way+1940,35,0,0.777769,5.7
forget+me+not+2009,18,0,4.458372,5.0
teddy+bear+1981,35,0,0.759427,7.8
de+nieuwe+wildernis+2013,99,0,0.77019,7.7
the+princess+bride+1987,12,0,15.15267,7.6
the+professionals+1966,28,0,5.032092,6.8
meeks+cutoff+2010,18,0,4.725763,6.5
se7en+1995,80,0,18.45743,8.1
what+lies+beneath+2000,18,0,9.500497,6.3
run+if+you+can+2010,18,0,0.165787,6.7
hearts+of+darkness+a+filmmakers+apocalypse+1991,99,0,4.617117,8.0
monsters_+inc.+2001,16,1,26.419962,7.5
mnage+1986,80,0,2.010505,6.0
le+rebelle+1980,18,0,0.065675,0.0
alien+1979,27,1,23.37742,7.9
gattaca+1997,53,0,12.89312,7.5
dogtooth+2009,18,0,17.713581,6.9
into+the+woods+2014,14,0,9.580785,5.6
stalingrad+1993,18,0,7.667284,7.4
naked+childhood+1968,18,0,1.952949,6.4
teenage+mutant+ninja+turtles+2014,878,1,22.337973,5.8
les+girls+1957,35,0,6.636057,6.4
hateship+loveship+2013,18,0,10.608891,5.7
my+neighbor+totoro+1988,14,0,13.507299,8.0
holy+flame+of+the++martial+world+1983,14,0,0.009961,6.4
bride+of+the+earth+1968,18,0,0.074161,5.0
the+way+of+the+dragon+1972,28,0,11.116474,7.4
shadow+of+the+holy+book+2007,99,0,0.038829,5.0
closely+watched+trains+1966,35,0,2.160866,7.3
some+folks+call+it+a+sling+blade+1994,18,0,0.459376,7.5
excuse+my+dust+1951,35,0,0.06915,0.0
the+education+of+little+tree+1997,18,0,0.007123,0.0
the+proposition+2005,28,0,9.387212,7.1
murder+by+decree+1979,80,0,7.92465,6.5
dragon+ball+z+broly+-+second+coming+1994,28,1,6.12929,6.5
prometheus+2012,878,1,16.624854,6.3
tangled+2010,16,1,14.684761,7.4
american+pie+presents+the+naked+mile+2006,35,1,8.152676,5.3
indiana+jones+and+the+temple+of+doom+1984,12,1,15.802306,7.1
brave+2012,16,0,15.876341,6.7
bruce+almighty+2003,14,1,15.947524,6.4
farewell_+friend+1968,80,0,2.014299,6.4
sixteen+candles+1984,35,0,6.683723,6.9
another+me+2013,53,0,5.203937,4.7
miss+potter+2006,18,0,8.599342,6.3
the+place+beyond+the+pines+2013,18,0,7.492658,6.8
chicken+run+2000,16,0,11.834245,6.5
if+you+could+see+what+i+hear+1982,18,0,0.25422,5.0
how+to+survive+a+plague+2012,99,0,1.204651,7.5
die+hard+1988,28,1,16.640522,7.5
the+triplets+of+belleville+2003,12,0,8.35586,7.3
the+spongebob+movie+sponge+out+of+water+2015,16,1,12.334689,5.7
how+to+train+your+dragon+2010,14,1,14.416681,7.5
to+be+takei+2014,99,0,4.641786,6.9
meantime+1984,18,0,1.509256,6.8
eight+men+out+1988,18,0,4.861698,7.5
evergreen+2004,18,0,0.876271,7.0
the+princess+and+the+frog+2009,10749,0,16.616517,6.7
unbreakable+2000,878,0,14.67855,6.9
dark+blue+almost+black+2006,18,0,2.486575,6.7
whole+2003,99,0,0.041972,9.0
a+room+with+a+view+1985,18,0,6.175166,6.9
master+of+the+flying+guillotine+1976,28,0,1.863293,5.9
in+her+shoes+2005,35,0,8.63229,6.0
the+secret+world+of+arrietty+2010,14,0,8.636052,7.4
number+one+with+a+bullet+1987,28,0,0.500661,4.5
willy+wonka++the+chocolate+factory+1971,10751,0,12.416635,7.4
the+swimmer+1968,18,0,3.589888,7.4
the+foot+fist+way+2006,35,0,2.066141,6.0
hated++gg+allin++the+murder+junkies+1994,99,0,0.822172,7.3
dragon+crusaders+2011,14,0,1.498691,2.6
bolero+1984,18,0,1.456485,3.4
nowhere+in+africa+2001,18,0,3.02027,7.0
despicable+me+2+2013,16,1,24.82355,7.0
invisible+agent+1942,12,1,1.48335,5.7
committed+2000,35,0,0.888545,4.4
along+came+jones+1945,28,0,0.906365,3.8
the+sugarland+express+1974,80,0,4.506948,6.4
the+fifth+element+1997,12,0,24.30526,7.3
the+servant+1963,18,0,6.071204,7.3
nico+and+dani+2000,18,0,1.847061,5.9
the+incredibles+2004,28,1,22.220214,7.4
ransom+1996,28,0,8.772188,6.4
the+enemies+of+reason+2007,99,0,0.7156,7.5
the+trap+1946,80,1,0.603541,6.9
the+memory+of+a+killer+2003,80,0,4.368257,6.4
the+heart+is+deceitful+above+all+things+2004,18,0,2.789574,5.7
godzilla+1985+1984,28,1,2.894009,6.7
wreck-it+ralph+2012,10751,1,13.697597,7.1
punchline+1988,35,0,5.764399,5.1
seventh+son+2014,12,0,15.297821,5.2
the+full+monty+1997,35,0,8.333322,6.9
the+man+who+sued+god+2001,35,0,1.741405,6.1
lantana+2001,80,0,2.994899,6.4
the+bad+sleep+well+1960,80,0,4.550823,7.7
nashville+1975,18,0,9.042678,7.2
woman+obsessed+1959,18,0,0.91305,6.0
the+shawshank+redemption+1994,18,0,51.645403,8.5
where+is+my+friends+house+1987,18,1,2.050506,7.8
all+the+way+home+1963,18,0,1.406094,5.5
the+spongebob+movie+sponge+out+of+water+2015,16,1,12.334689,5.7
all+about+anna+2005,35,0,6.614301,2.5
iron+man+2008,28,1,22.073099,7.4
mad+max+1979,12,1,11.412619,6.6
phar+lap+1983,18,0,0.709445,7.3
star+wars+1977,12,1,42.149697,8.1
for+your+consideration+2006,35,0,12.142183,5.9
milky+way+2007,0,0,0.074209,2.5
paparazzi+2004,28,0,12.553403,5.8
ballet+shoes+2008,10770,0,5.828623,6.3
mortuary+2005,27,0,8.261448,4.0
capone+1975,80,0,3.669545,6.0
pinocchio+1940,16,0,14.202284,6.9
floating+clouds+1955,18,0,1.747874,7.4
ong-bak+the+thai+warrior+2003,28,1,7.89916,7.0
the+witches+1967,35,1,2.63039,5.4
the+world+according+to+sesame+street+2006,99,0,0.219281,8.0
alice+in+murderland+2010,27,0,0.678476,2.2
running+on+empty+1988,18,0,4.368078,7.4
nightcrawler+2014,80,0,21.277073,7.6
shooting+dogs+2006,18,0,10.81576,7.5
terminator+2+judgment+day+1991,28,1,22.661695,7.7
anything+else+2003,35,0,11.10416,6.2
friday+the+13th+a+new+beginning+1985,27,1,9.094477,5.1
blade+runner+1982,878,1,96.272374,7.9
paisan+1946,36,1,3.080515,7.6
smokin+aces+2+assassins+ball+2010,28,1,6.102148,5.4
stoked+the+rise+and+fall+of+gator+2004,99,0,0.782053,7.2
whiplash+2014,18,0,64.29999,8.3
an+inn+in+tokyo+1935,18,0,0.702012,6.0
playtime+1967,35,0,8.741959,8.0
the+imitation+game+2014,36,0,31.59594,8.0
maleficent+2014,14,0,19.467404,7.0
i+origins+2014,878,0,11.901185,7.5
memories+of+matsuko+2006,35,0,3.175948,7.2
anna+karenina+1935,18,0,1.810574,6.6
big+hero+6+2014,12,0,213.849907,7.8
grease+1978,10749,1,7.854899,7.2
the+trial+1962,80,0,5.310729,7.4
star+wars+1977,12,1,42.149697,8.1
hail+the+conquering+hero+1944,35,0,1.405996,7.1
rendezvous+1935,35,0,0.147055,5.1
memphis+belle+1990,18,0,8.854911,6.4
robin+hood+prince+of+thieves+1991,12,0,10.639244,6.6
ween+live+in+chicago+2004,0,0,0.043068,10.0
goodbye+to+language+2014,18,0,2.662659,6.6
the+white+stripes+under+great+white+northern+lights+2009,99,0,0.383393,6.9
top+hat+1935,35,0,7.122093,7.4
flightplan+2005,53,0,12.419851,6.1
starting+over+1979,35,0,0.597398,6.9
never+back+down+2008,18,1,14.753931,6.5
ponyo+2008,16,0,8.470945,7.5
thats+entertainment+1974,99,1,1.048027,7.9
ninja+scroll+1993,28,0,7.634365,7.4
schtonk+1992,36,0,0.865615,6.7
nightcrawler+2014,80,0,21.277073,7.6
new+york+cop+1993,28,0,0.004537,0.0
the+people+vs.+larry+flynt+1996,18,0,9.178371,6.8
the+borderlands+2013,27,0,4.73755,5.1
the+anderssons+in+greece+all+inclusive+2012,35,1,4.172291,5.2
internal+affairs+1990,80,0,5.439942,6.5
two+hands+1999,35,0,9.289588,6.4
remember+sunday+2013,10770,0,11.190606,7.0
the+gruffalo+2009,16,1,8.575933,6.7
seize+the+day+1986,0,0,1.916869,5.8
a+man+and+a+woman+1966,18,0,2.924112,7.2
seven+samurai+1954,28,0,15.01777,8.2
the+ruins+2008,18,0,7.192452,5.6
monty+python+and+the+holy+grail+1975,12,0,10.43389,7.8
dr.+no+1962,12,1,19.931606,6.9
senna+2010,99,0,11.331859,8.1
something+the+lord+made+2004,10770,0,3.260102,7.5
dillinger+is+dead+1969,18,0,1.059382,6.5
the+man+from+laramie+1955,37,0,5.678463,6.8
beauty+prize+1930,18,0,0.444066,0.0
brides+2004,18,0,1.194912,6.7
homecoming+2009,27,0,6.650064,5.6
toy+story+2+1999,16,1,17.547693,7.3
blade+runner+1982,878,1,96.272374,7.9
ong-bak+the+thai+warrior+2003,28,1,7.89916,7.0
the+three+musketeers+1921,28,0,0.310953,5.7
savage+streets+1984,28,0,1.525307,6.5
kingdom+of+heaven+2005,18,0,16.296471,6.6
invasion+of+the+body+snatchers+1978,27,0,5.219641,7.1
alien+1979,27,1,23.37742,7.9
shutter+island+2010,18,0,15.813629,7.8
girl+model+2011,99,0,1.904093,6.5
different+from+the+others+1919,18,0,0.289991,7.0
the+gods+must+be+crazy+1980,28,1,10.973482,7.1
the+ghost+writer+2010,53,0,6.76482,6.7
amuck+1972,18,0,1.157955,6.3
doctor+strange+2007,28,0,10.025137,6.6
dial+m+for+murder+1954,80,0,7.853231,7.9
the+curious+case+of+benjamin+button+2008,14,0,17.934821,7.3
black+ice+2007,53,0,1.238266,5.4
small+town+gay+bar+2007,99,0,0.87638,5.7
dinosaur+13+2014,99,0,3.22314,7.0
the+five+obstructions+2003,18,0,5.714251,6.7
goodfellas+1990,18,0,15.424092,8.2
monsters_+inc.+2001,16,1,26.419962,7.5
behind+the+sun+2001,18,0,1.836865,6.4
charlie+countryman+2013,28,0,9.609726,6.4
somewhere+2010,35,0,7.098301,6.0
keoma+1976,28,0,2.739487,6.3
moscow+does+not+believe+in+tears+1980,18,0,3.494578,7.9
leon+the+professional+1994,53,0,20.477329,8.2
inception+2010,28,0,29.108149,8.1
born+in+flames+1983,878,0,0.000578,6.7
gentlemen+prefer+blondes+1953,35,0,7.174547,7.1
little+girl+2009,18,0,0.327436,7.1
blue+is+the+warmest+color+2013,10749,0,4.938148,7.2
three+colors+blue+1993,18,1,8.843517,7.7
anvil+the+story+of+anvil+2008,99,0,3.414041,7.7
family+viewing+1987,18,0,1.131486,5.7
pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,12,1,47.326665,7.5
edison+2005,53,0,5.394304,5.4
cecil+b.+demented+2000,53,0,7.000983,6.2
lumikuningatar+1986,0,0,0.000578,7.0
prime+suspect+1991,80,0,2.104104,7.5
the+cat+returns+2002,12,0,11.639023,7.2
star+wars+1977,12,1,42.149697,8.1
cloudy+with+a+chance+of+meatballs+2009,16,1,11.665693,6.5
third+star+2010,18,0,2.380795,7.5
forrest+gump+1994,35,0,48.307194,8.2
twilight+2008,12,1,31.282029,5.8
sgt.+bilko+1996,35,0,5.70904,5.5
hercules+1997,16,0,14.048694,7.3
wife+1953,18,0,0.096079,0.0
the+fog+2005,27,0,9.929809,3.8
ice+age+the+meltdown+2006,16,1,16.646029,6.5
how+to+train+your+dragon+2010,14,1,14.416681,7.5
paradise+lost+3+purgatory+2011,99,1,2.84239,7.6
blue+valentine+2010,18,0,11.107914,6.9
the+lost+honor+of+katharina+blum+1975,35,0,7.172922,7.2
battle+of+the+warriors+2006,36,0,4.086148,6.3
the+road+home+1999,18,0,2.611492,7.7
the+thief+of+bagdad+1940,28,0,3.428166,7.5
two+mules+for+sister+sara+1970,37,0,10.072738,6.6
gattaca+1997,53,0,12.89312,7.5
10+rillington+place+1971,80,0,2.99988,6.9
the+circus+1928,35,0,6.714813,8.0
rich+and+famous+1981,18,0,12.180836,4.9
coraline+2009,16,0,16.639915,7.3
ratatouille+2007,16,0,20.50803,7.5
fury+2014,10752,0,36.713807,7.4
the+jerk+1979,35,0,5.873021,7.0
the+gold+bug+2014,35,0,0.19059,0.0
ghosts+2005,18,0,0.744845,6.8
0605+2004,18,0,0.903115,5.6
cut-throats+nine+1972,80,0,0.24991,6.8
terminator+2+judgment+day+1991,28,1,22.661695,7.7
here+and+elsewhere+1976,99,0,0.479079,5.7
a+midnight+clear+1992,18,0,7.210452,6.9
iron+man+2+2010,12,1,19.083344,6.6
better+living+through+chemistry+2014,18,0,7.392294,5.9
birthday+girl+2001,35,0,6.271279,6.1
dive+2010,99,0,0.119402,6.2
the+rookie+2002,18,0,10.991137,6.5
the+dark+knight+rises+2012,28,1,20.58258,7.6
salton+sea+2002,80,0,12.106615,7.0
father+takes+a+wife+1941,35,0,0.053283,5.0
clean_+shaven+1993,18,0,3.143971,7.0
cry+of+the+city+1948,80,0,1.548359,6.1
the+hobbit+the+desolation+of+smaug+2013,12,1,20.644776,7.6
chocolate+strawberry+vanilla+2013,27,0,1.209092,6.1
love+comes+softly+2003,18,1,1.807464,6.2
forbidden+1932,18,0,0.37014,6.1
female+yakuza+tale+1973,28,1,1.041534,6.6
my+neighbor+totoro+1988,14,0,13.507299,8.0
the+motorcycle+diaries+2004,18,0,7.667491,7.2
au+revoir+les+enfants+1987,18,0,8.052387,7.5
stevie+nicks+live+at+red+rocks+1987,0,0,0.341085,7.0
grip+of+the+strangler+1958,27,0,0.487567,6.3
so+proudly+we+hail+1943,10752,0,0.773279,5.7
how+to+train+your+dragon+2+2014,14,1,12.256689,7.6
toy+story+2+1999,16,1,17.547693,7.3
++++2013,9648,0,0.070407,10.0
dogville+2003,80,1,9.808595,7.6
breakout+2013,28,0,7.152793,4.3
galaxy+quest+1999,35,0,15.831374,6.9
hair+1979,18,0,5.259089,7.3
fargo+1996,80,0,12.61469,7.7
the+shaggy+dog+2006,35,0,4.878907,4.5
being+there+1979,35,0,12.320636,7.7
the+lion+in+winter+1968,18,0,7.056355,7.6
john+doe+vigilante+2014,53,0,2.538745,6.7
yoyo+1965,35,0,0.591262,5.9
doppelganger+2003,35,0,0.542608,7.4
new+dragon+gate+inn+1992,28,0,3.677943,7.4
across+the+sea+of+time+1995,12,0,0.114469,3.5
life+is+beautiful+1997,35,0,39.39497,8.3
20+feet+from+stardom+2013,99,0,8.283621,7.4
gone+girl+2014,9648,0,154.801009,7.9
the+girl+who+leapt+through+time+2006,14,0,12.430158,7.8
the+matrix+1999,28,1,33.366332,7.9
the+changeling+1980,27,0,5.821597,7.0
look+whats+happened+to+rosemarys+baby+1976,27,1,1.250603,2.0
dog+soldiers+2002,27,0,10.073784,6.7
on+our+merry+way+1948,10749,0,0.608104,6.0
captain+america+the+winter+soldier+2014,28,1,18.717704,7.6
galaxy+quest+1999,35,0,15.831374,6.9
ghosts+of+the+abyss+2003,99,0,4.835446,7.1
calling+bulldog+drummond+1951,9648,0,0.380778,6.0
the+last+farm+2004,18,0,0.385759,7.6
blade+runner+1982,878,1,96.272374,7.9
mr.+deeds+goes+to+town+1936,35,0,3.85412,7.3
13+fighting+men+1960,10752,0,0.070647,0.0
rock+n+roll+high+school+1979,35,0,3.019609,6.6
star+wars+episode+iii+-+revenge+of+the+sith+2005,878,1,13.165421,7.1
my+sassy+girl+2008,35,0,6.318475,6.1
indiana+jones+and+the+temple+of+doom+1984,12,1,15.802306,7.1
work+in+progress+2001,99,0,0.65959,7.2
the+goalies+anxiety+at+the+penalty+kick+1972,80,0,0.769053,3.5
shutter+island+2010,18,0,15.813629,7.8
forty+shades+of+blue+2005,18,0,0.632369,6.0
higher+and+higher+1943,35,0,0.041727,6.0
alien+1979,27,1,23.37742,7.9
red+eye+2005,27,0,6.336927,6.2
toy+story+3+2010,16,1,16.96647,7.6
autumn+spring+2001,10751,0,0.5724,7.0
pigs+2007,35,0,4.85165,4.3
dances+with+wolves+1990,12,0,11.654349,7.6
frances+ha+2013,35,0,8.471415,7.3
priceless+2006,18,0,6.18064,6.4
indiscreet+1958,35,0,1.407538,6.3
indiana+jones+and+the+kingdom+of+the+crystal+skull+2008,12,1,12.577266,5.7
after+the+dark+2013,18,0,7.113372,6.2
alucarda+1977,27,0,2.363613,6.7
the+day+the+earth+stood+still+1951,18,0,9.360003,7.3
four+lions+2010,35,0,11.934045,7.1
harry+potter+and+the+deathly+hallows+part+2+2011,10751,1,24.990737,7.9
muppets+from+space+1999,14,1,7.531668,5.8
braveheart+1995,28,0,20.755149,7.7
pepe+1960,35,0,0.300826,3.5
the+secret+world+of+arrietty+2010,14,0,8.636052,7.4
playing+for+keeps+1986,35,0,0.076591,5.0
dimensions+of+dialogue+1983,35,0,1.471078,7.5
yeelen+1987,18,0,1.322729,6.5
madam+satan+1930,10749,0,0.20618,3.8
masquerade+2012,18,0,3.291016,7.4
monty+python+and+the+holy+grail+1975,12,0,10.43389,7.8
the+kingdom+ii+1997,27,1,0.553169,6.7
light+sleeper+1992,18,0,7.468807,5.7
ali+zaoua+prince+of+the+streets+2000,18,0,0.76225,6.3
